"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.00000000000E+004, +8.87969125801E+001, +0.00000000000E+000
+2.00075000000E+004, +8.87930642055E+001, +0.00000000000E+000
+2.00150000000E+004, +8.87969961486E+001, +0.00000000000E+000
+2.00225000000E+004, +8.87970184054E+001, +0.00000000000E+000
+2.00300000000E+004, +8.87969898622E+001, +0.00000000000E+000
+2.00375000000E+004, +8.87962544037E+001, +0.00000000000E+000
+2.00450000000E+004, +8.87951551462E+001, +0.00000000000E+000
+2.00525000000E+004, +8.87930511516E+001, +0.00000000000E+000
+2.00600000000E+004, +8.87994458492E+001, +0.00000000000E+000
+2.00675000000E+004, +8.87993780373E+001, +0.00000000000E+000
+2.00750000000E+004, +8.87988884992E+001, +0.00000000000E+000
+2.00825000000E+004, +8.87949279095E+001, +0.00000000000E+000
+2.00900000000E+004, +8.88048056212E+001, +0.00000000000E+000
+2.00975000000E+004, +8.87977920017E+001, +0.00000000000E+000
+2.01050000000E+004, +8.87985268868E+001, +0.00000000000E+000
+2.01125000000E+004, +8.87991043451E+001, +0.00000000000E+000
+2.01200000000E+004, +8.87955533330E+001, +0.00000000000E+000
+2.01275000000E+004, +8.87966120411E+001, +0.00000000000E+000
+2.01350000000E+004, +8.87973662471E+001, +0.00000000000E+000
+2.01425000000E+004, +8.87966229398E+001, +0.00000000000E+000
+2.01500000000E+004, +8.88008739015E+001, +0.00000000000E+000
+2.01575000000E+004, +8.88025406064E+001, +0.00000000000E+000
+2.01650000000E+004, +8.88017829566E+001, +0.00000000000E+000
+2.01725000000E+004, +8.88004965253E+001, +0.00000000000E+000
+2.01800000000E+004, +8.88062149141E+001, +0.00000000000E+000
+2.01875000000E+004, +8.88023184409E+001, +0.00000000000E+000
+2.01950000000E+004, +8.88019587559E+001, +0.00000000000E+000
+2.02025000000E+004, +8.88025298968E+001, +0.00000000000E+000
+2.02100000000E+004, +8.88027574080E+001, +0.00000000000E+000
+2.02175000000E+004, +8.88052883936E+001, +0.00000000000E+000
+2.02250000000E+004, +8.88057566561E+001, +0.00000000000E+000
+2.02325000000E+004, +8.88045765369E+001, +0.00000000000E+000
+2.02400000000E+004, +8.88083448383E+001, +0.00000000000E+000
+2.02475000000E+004, +8.88052720052E+001, +0.00000000000E+000
+2.02550000000E+004, +8.88016092734E+001, +0.00000000000E+000
+2.02625000000E+004, +8.88034681635E+001, +0.00000000000E+000
+2.02700000000E+004, +8.88033027773E+001, +0.00000000000E+000
+2.02775000000E+004, +8.88044893011E+001, +0.00000000000E+000
+2.02850000000E+004, +8.88050267528E+001, +0.00000000000E+000
+2.02925000000E+004, +8.88077094454E+001, +0.00000000000E+000
+2.03000000000E+004, +8.88084079383E+001, +0.00000000000E+000
+2.03075000000E+004, +8.88115941418E+001, +0.00000000000E+000
+2.03150000000E+004, +8.88073344383E+001, +0.00000000000E+000
+2.03225000000E+004, +8.88076365771E+001, +0.00000000000E+000
+2.03300000000E+004, +8.88090754558E+001, +0.00000000000E+000
+2.03375000000E+004, +8.88100573754E+001, +0.00000000000E+000
+2.03450000000E+004, +8.88100429673E+001, +0.00000000000E+000
+2.03525000000E+004, +8.88089924496E+001, +0.00000000000E+000
+2.03600000000E+004, +8.88140957191E+001, +0.00000000000E+000
+2.03675000000E+004, +8.88132120146E+001, +0.00000000000E+000
+2.03750000000E+004, +8.88075860538E+001, +0.00000000000E+000
+2.03825000000E+004, +8.88042072596E+001, +0.00000000000E+000
+2.03900000000E+004, +8.88097522623E+001, +0.00000000000E+000
+2.03975000000E+004, +8.88078508751E+001, +0.00000000000E+000
+2.04050000000E+004, +8.88110071242E+001, +0.00000000000E+000
+2.04125000000E+004, +8.88091039200E+001, +0.00000000000E+000
+2.04200000000E+004, +8.88110506429E+001, +0.00000000000E+000
+2.04275000000E+004, +8.88077848070E+001, +0.00000000000E+000
+2.04350000000E+004, +8.88149224308E+001, +0.00000000000E+000
+2.04425000000E+004, +8.88126075790E+001, +0.00000000000E+000
+2.04500000000E+004, +8.88161557507E+001, +0.00000000000E+000
+2.04575000000E+004, +8.88126910775E+001, +0.00000000000E+000
+2.04650000000E+004, +8.88107985588E+001, +0.00000000000E+000
+2.04725000000E+004, +8.88121888264E+001, +0.00000000000E+000
+2.04800000000E+004, +8.88147381361E+001, +0.00000000000E+000
+2.04875000000E+004, +8.88106724337E+001, +0.00000000000E+000
+2.04950000000E+004, +8.88154676845E+001, +0.00000000000E+000
+2.05025000000E+004, +8.88098861819E+001, +0.00000000000E+000
+2.05100000000E+004, +8.88176171228E+001, +0.00000000000E+000
+2.05175000000E+004, +8.88128119928E+001, +0.00000000000E+000
+2.05250000000E+004, +8.88132829133E+001, +0.00000000000E+000
+2.05325000000E+004, +8.88159452389E+001, +0.00000000000E+000
+2.05400000000E+004, +8.88158550897E+001, +0.00000000000E+000
+2.05475000000E+004, +8.88141541258E+001, +0.00000000000E+000
+2.05550000000E+004, +8.88146577572E+001, +0.00000000000E+000
+2.05625000000E+004, +8.88132176618E+001, +0.00000000000E+000
+2.05700000000E+004, +8.88133011924E+001, +0.00000000000E+000
+2.05775000000E+004, +8.88166492702E+001, +0.00000000000E+000
+2.05850000000E+004, +8.88169612422E+001, +0.00000000000E+000
+2.05925000000E+004, +8.88191376252E+001, +0.00000000000E+000
+2.06000000000E+004, +8.88156746676E+001, +0.00000000000E+000
+2.06075000000E+004, +8.88183930814E+001, +0.00000000000E+000
+2.06150000000E+004, +8.88164709204E+001, +0.00000000000E+000
+2.06225000000E+004, +8.88151222513E+001, +0.00000000000E+000
+2.06300000000E+004, +8.88120482393E+001, +0.00000000000E+000
+2.06375000000E+004, +8.88179035122E+001, +0.00000000000E+000
+2.06450000000E+004, +8.88149123418E+001, +0.00000000000E+000
+2.06525000000E+004, +8.88218188319E+001, +0.00000000000E+000
+2.06600000000E+004, +8.88178373152E+001, +0.00000000000E+000
+2.06675000000E+004, +8.88160763403E+001, +0.00000000000E+000
+2.06750000000E+004, +8.88198687267E+001, +0.00000000000E+000
+2.06825000000E+004, +8.88229678909E+001, +0.00000000000E+000
+2.06900000000E+004, +8.88199027022E+001, +0.00000000000E+000
+2.06975000000E+004, +8.88244970438E+001, +0.00000000000E+000
+2.07050000000E+004, +8.88194087600E+001, +0.00000000000E+000
+2.07125000000E+004, +8.88188697460E+001, +0.00000000000E+000
+2.07200000000E+004, +8.88177830983E+001, +0.00000000000E+000
+2.07275000000E+004, +8.88139514406E+001, +0.00000000000E+000
+2.07350000000E+004, +8.88224009627E+001, +0.00000000000E+000
+2.07425000000E+004, +8.88237543502E+001, +0.00000000000E+000
+2.07500000000E+004, +8.88222271779E+001, +0.00000000000E+000
+2.07575000000E+004, +8.88232470456E+001, +0.00000000000E+000
+2.07650000000E+004, +8.88248150938E+001, +0.00000000000E+000
+2.07725000000E+004, +8.88262946644E+001, +0.00000000000E+000
+2.07800000000E+004, +8.88239904181E+001, +0.00000000000E+000
+2.07875000000E+004, +8.88260574289E+001, +0.00000000000E+000
+2.07950000000E+004, +8.88230733347E+001, +0.00000000000E+000
+2.08025000000E+004, +8.88235284204E+001, +0.00000000000E+000
+2.08100000000E+004, +8.88237178818E+001, +0.00000000000E+000
+2.08175000000E+004, +8.88246429790E+001, +0.00000000000E+000
