"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.00000000000E+004, +1.43731804181E+002, +0.00000000000E+000
+2.00075000000E+004, +1.43793615597E+002, +0.00000000000E+000
+2.00150000000E+004, +1.43854939866E+002, +0.00000000000E+000
+2.00225000000E+004, +1.43919763940E+002, +0.00000000000E+000
+2.00300000000E+004, +1.43966925500E+002, +0.00000000000E+000
+2.00375000000E+004, +1.44029485140E+002, +0.00000000000E+000
+2.00450000000E+004, +1.44094030649E+002, +0.00000000000E+000
+2.00525000000E+004, +1.44154590966E+002, +0.00000000000E+000
+2.00600000000E+004, +1.44212048930E+002, +0.00000000000E+000
+2.00675000000E+004, +1.44283520557E+002, +0.00000000000E+000
+2.00750000000E+004, +1.44338526228E+002, +0.00000000000E+000
+2.00825000000E+004, +1.44403273744E+002, +0.00000000000E+000
+2.00900000000E+004, +1.44459924352E+002, +0.00000000000E+000
+2.00975000000E+004, +1.44522046505E+002, +0.00000000000E+000
+2.01050000000E+004, +1.44581857257E+002, +0.00000000000E+000
+2.01125000000E+004, +1.44632017640E+002, +0.00000000000E+000
+2.01200000000E+004, +1.44691756665E+002, +0.00000000000E+000
+2.01275000000E+004, +1.44763273696E+002, +0.00000000000E+000
+2.01350000000E+004, +1.44822875100E+002, +0.00000000000E+000
+2.01425000000E+004, +1.44887785668E+002, +0.00000000000E+000
+2.01500000000E+004, +1.44934279365E+002, +0.00000000000E+000
+2.01575000000E+004, +1.45004207490E+002, +0.00000000000E+000
+2.01650000000E+004, +1.45068761090E+002, +0.00000000000E+000
+2.01725000000E+004, +1.45123864586E+002, +0.00000000000E+000
+2.01800000000E+004, +1.45194160293E+002, +0.00000000000E+000
+2.01875000000E+004, +1.45257135397E+002, +0.00000000000E+000
+2.01950000000E+004, +1.45304457993E+002, +0.00000000000E+000
+2.02025000000E+004, +1.45371193804E+002, +0.00000000000E+000
+2.02100000000E+004, +1.45430375382E+002, +0.00000000000E+000
+2.02175000000E+004, +1.45481100890E+002, +0.00000000000E+000
+2.02250000000E+004, +1.45541262987E+002, +0.00000000000E+000
+2.02325000000E+004, +1.45616815954E+002, +0.00000000000E+000
+2.02400000000E+004, +1.45665321920E+002, +0.00000000000E+000
+2.02475000000E+004, +1.45738887871E+002, +0.00000000000E+000
+2.02550000000E+004, +1.45800670924E+002, +0.00000000000E+000
+2.02625000000E+004, +1.45857433658E+002, +0.00000000000E+000
+2.02700000000E+004, +1.45908580209E+002, +0.00000000000E+000
+2.02775000000E+004, +1.45967234346E+002, +0.00000000000E+000
+2.02850000000E+004, +1.46044180564E+002, +0.00000000000E+000
+2.02925000000E+004, +1.46091240718E+002, +0.00000000000E+000
+2.03000000000E+004, +1.46157719892E+002, +0.00000000000E+000
+2.03075000000E+004, +1.46216509256E+002, +0.00000000000E+000
+2.03150000000E+004, +1.46285985426E+002, +0.00000000000E+000
+2.03225000000E+004, +1.46336122553E+002, +0.00000000000E+000
+2.03300000000E+004, +1.46397277953E+002, +0.00000000000E+000
+2.03375000000E+004, +1.46459544362E+002, +0.00000000000E+000
+2.03450000000E+004, +1.46527220837E+002, +0.00000000000E+000
+2.03525000000E+004, +1.46581124978E+002, +0.00000000000E+000
+2.03600000000E+004, +1.46645388724E+002, +0.00000000000E+000
+2.03675000000E+004, +1.46705495802E+002, +0.00000000000E+000
+2.03750000000E+004, +1.46770176136E+002, +0.00000000000E+000
+2.03825000000E+004, +1.46823696471E+002, +0.00000000000E+000
+2.03900000000E+004, +1.46896625270E+002, +0.00000000000E+000
+2.03975000000E+004, +1.46947534212E+002, +0.00000000000E+000
+2.04050000000E+004, +1.47016988613E+002, +0.00000000000E+000
+2.04125000000E+004, +1.47082646996E+002, +0.00000000000E+000
+2.04200000000E+004, +1.47134543633E+002, +0.00000000000E+000
+2.04275000000E+004, +1.47195655875E+002, +0.00000000000E+000
+2.04350000000E+004, +1.47247232219E+002, +0.00000000000E+000
+2.04425000000E+004, +1.47316249314E+002, +0.00000000000E+000
+2.04500000000E+004, +1.47375317156E+002, +0.00000000000E+000
+2.04575000000E+004, +1.47439449337E+002, +0.00000000000E+000
+2.04650000000E+004, +1.47494816704E+002, +0.00000000000E+000
+2.04725000000E+004, +1.47577680029E+002, +0.00000000000E+000
+2.04800000000E+004, +1.47618638121E+002, +0.00000000000E+000
+2.04875000000E+004, +1.47692326164E+002, +0.00000000000E+000
+2.04950000000E+004, +1.47752865918E+002, +0.00000000000E+000
+2.05025000000E+004, +1.47804410527E+002, +0.00000000000E+000
+2.05100000000E+004, +1.47873175902E+002, +0.00000000000E+000
+2.05175000000E+004, +1.47922521828E+002, +0.00000000000E+000
+2.05250000000E+004, +1.47995797454E+002, +0.00000000000E+000
+2.05325000000E+004, +1.48058503015E+002, +0.00000000000E+000
+2.05400000000E+004, +1.48118068531E+002, +0.00000000000E+000
+2.05475000000E+004, +1.48181036505E+002, +0.00000000000E+000
+2.05550000000E+004, +1.48240826429E+002, +0.00000000000E+000
+2.05625000000E+004, +1.48295057167E+002, +0.00000000000E+000
+2.05700000000E+004, +1.48359245500E+002, +0.00000000000E+000
