"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.00000000000E+004, +8.33049231542E+001, +0.00000000000E+000
+2.00075000000E+004, +8.33209378269E+001, +0.00000000000E+000
+2.00150000000E+004, +8.33351929581E+001, +0.00000000000E+000
+2.00225000000E+004, +8.33424285405E+001, +0.00000000000E+000
+2.00300000000E+004, +8.33624808838E+001, +0.00000000000E+000
+2.00375000000E+004, +8.33704229687E+001, +0.00000000000E+000
+2.00450000000E+004, +8.33901064230E+001, +0.00000000000E+000
+2.00525000000E+004, +8.34017264110E+001, +0.00000000000E+000
+2.00600000000E+004, +8.34189074363E+001, +0.00000000000E+000
+2.00675000000E+004, +8.34272354792E+001, +0.00000000000E+000
+2.00750000000E+004, +8.34422927106E+001, +0.00000000000E+000
+2.00825000000E+004, +8.34604343346E+001, +0.00000000000E+000
+2.00900000000E+004, +8.34719852049E+001, +0.00000000000E+000
+2.00975000000E+004, +8.34865740751E+001, +0.00000000000E+000
+2.01050000000E+004, +8.34974912409E+001, +0.00000000000E+000
+2.01125000000E+004, +8.35122244781E+001, +0.00000000000E+000
+2.01200000000E+004, +8.35220739959E+001, +0.00000000000E+000
+2.01275000000E+004, +8.35378330256E+001, +0.00000000000E+000
+2.01350000000E+004, +8.35525199940E+001, +0.00000000000E+000
+2.01425000000E+004, +8.35577105656E+001, +0.00000000000E+000
+2.01500000000E+004, +8.35742864724E+001, +0.00000000000E+000
+2.01575000000E+004, +8.35838660009E+001, +0.00000000000E+000
+2.01650000000E+004, +8.35985375508E+001, +0.00000000000E+000
+2.01725000000E+004, +8.36107854767E+001, +0.00000000000E+000
+2.01800000000E+004, +8.36255574155E+001, +0.00000000000E+000
+2.01875000000E+004, +8.36388125111E+001, +0.00000000000E+000
+2.01950000000E+004, +8.36495636224E+001, +0.00000000000E+000
+2.02025000000E+004, +8.36619581741E+001, +0.00000000000E+000
+2.02100000000E+004, +8.36685368786E+001, +0.00000000000E+000
+2.02175000000E+004, +8.36883320989E+001, +0.00000000000E+000
+2.02250000000E+004, +8.36980269827E+001, +0.00000000000E+000
+2.02325000000E+004, +8.37110885134E+001, +0.00000000000E+000
+2.02400000000E+004, +8.37240001389E+001, +0.00000000000E+000
+2.02475000000E+004, +8.37338869653E+001, +0.00000000000E+000
+2.02550000000E+004, +8.37449409368E+001, +0.00000000000E+000
+2.02625000000E+004, +8.37574599701E+001, +0.00000000000E+000
+2.02700000000E+004, +8.37729180980E+001, +0.00000000000E+000
+2.02775000000E+004, +8.37828272787E+001, +0.00000000000E+000
+2.02850000000E+004, +8.37940949936E+001, +0.00000000000E+000
+2.02925000000E+004, +8.38039899876E+001, +0.00000000000E+000
+2.03000000000E+004, +8.38152550448E+001, +0.00000000000E+000
+2.03075000000E+004, +8.38321269091E+001, +0.00000000000E+000
+2.03150000000E+004, +8.38421416823E+001, +0.00000000000E+000
+2.03225000000E+004, +8.38598030951E+001, +0.00000000000E+000
+2.03300000000E+004, +8.38630153787E+001, +0.00000000000E+000
+2.03375000000E+004, +8.38792195337E+001, +0.00000000000E+000
+2.03450000000E+004, +8.38897822471E+001, +0.00000000000E+000
+2.03525000000E+004, +8.39010468757E+001, +0.00000000000E+000
+2.03600000000E+004, +8.39091473387E+001, +0.00000000000E+000
+2.03675000000E+004, +8.39252572861E+001, +0.00000000000E+000
+2.03750000000E+004, +8.39338040285E+001, +0.00000000000E+000
+2.03825000000E+004, +8.39484368320E+001, +0.00000000000E+000
+2.03900000000E+004, +8.39573632720E+001, +0.00000000000E+000
+2.03975000000E+004, +8.39671958705E+001, +0.00000000000E+000
+2.04050000000E+004, +8.39843905760E+001, +0.00000000000E+000
+2.04125000000E+004, +8.39897086505E+001, +0.00000000000E+000
+2.04200000000E+004, +8.40055202869E+001, +0.00000000000E+000
+2.04275000000E+004, +8.40158838867E+001, +0.00000000000E+000
+2.04350000000E+004, +8.40283267688E+001, +0.00000000000E+000
+2.04425000000E+004, +8.40373808112E+001, +0.00000000000E+000
+2.04500000000E+004, +8.40454343250E+001, +0.00000000000E+000
+2.04575000000E+004, +8.40632984628E+001, +0.00000000000E+000
+2.04650000000E+004, +8.40694582700E+001, +0.00000000000E+000
+2.04725000000E+004, +8.40765139917E+001, +0.00000000000E+000
+2.04800000000E+004, +8.40877714285E+001, +0.00000000000E+000
+2.04875000000E+004, +8.41027846896E+001, +0.00000000000E+000
+2.04950000000E+004, +8.41132332616E+001, +0.00000000000E+000
+2.05025000000E+004, +8.41256541889E+001, +0.00000000000E+000
+2.05100000000E+004, +8.41326182978E+001, +0.00000000000E+000
+2.05175000000E+004, +8.41486163387E+001, +0.00000000000E+000
+2.05250000000E+004, +8.41563798716E+001, +0.00000000000E+000
+2.05325000000E+004, +8.41651611332E+001, +0.00000000000E+000
+2.05400000000E+004, +8.41755626666E+001, +0.00000000000E+000
+2.05475000000E+004, +8.41847492763E+001, +0.00000000000E+000
+2.05550000000E+004, +8.41940661004E+001, +0.00000000000E+000
+2.05625000000E+004, +8.42076864779E+001, +0.00000000000E+000
+2.05700000000E+004, +8.42220512840E+001, +0.00000000000E+000
+2.05775000000E+004, +8.42279479857E+001, +0.00000000000E+000
+2.05850000000E+004, +8.42408548543E+001, +0.00000000000E+000
+2.05925000000E+004, +8.42458057013E+001, +0.00000000000E+000
+2.06000000000E+004, +8.42618781958E+001, +0.00000000000E+000
+2.06075000000E+004, +8.42742710724E+001, +0.00000000000E+000
+2.06150000000E+004, +8.42832173471E+001, +0.00000000000E+000
+2.06225000000E+004, +8.42890282034E+001, +0.00000000000E+000
+2.06300000000E+004, +8.42986594069E+001, +0.00000000000E+000
+2.06375000000E+004, +8.43107724181E+001, +0.00000000000E+000
+2.06450000000E+004, +8.43200639594E+001, +0.00000000000E+000
+2.06525000000E+004, +8.43347192782E+001, +0.00000000000E+000
+2.06600000000E+004, +8.43387210574E+001, +0.00000000000E+000
+2.06675000000E+004, +8.43512005830E+001, +0.00000000000E+000
+2.06750000000E+004, +8.43622432439E+001, +0.00000000000E+000
+2.06825000000E+004, +8.43704683089E+001, +0.00000000000E+000
+2.06900000000E+004, +8.43796511293E+001, +0.00000000000E+000
+2.06975000000E+004, +8.43939392423E+001, +0.00000000000E+000
+2.07050000000E+004, +8.43945496290E+001, +0.00000000000E+000
+2.07125000000E+004, +8.44066119622E+001, +0.00000000000E+000
+2.07200000000E+004, +8.44172599790E+001, +0.00000000000E+000
+2.07275000000E+004, +8.44272412523E+001, +0.00000000000E+000
+2.07350000000E+004, +8.44348656988E+001, +0.00000000000E+000
+2.07425000000E+004, +8.44497915413E+001, +0.00000000000E+000
+2.07500000000E+004, +8.44607995970E+001, +0.00000000000E+000
+2.07575000000E+004, +8.44632085473E+001, +0.00000000000E+000
+2.07650000000E+004, +8.44714132694E+001, +0.00000000000E+000
+2.07725000000E+004, +8.44868001881E+001, +0.00000000000E+000
+2.07800000000E+004, +8.44904816869E+001, +0.00000000000E+000
+2.07875000000E+004, +8.45002218147E+001, +0.00000000000E+000
+2.07950000000E+004, +8.45055524811E+001, +0.00000000000E+000
+2.08025000000E+004, +8.45201700723E+001, +0.00000000000E+000
+2.08100000000E+004, +8.45282136455E+001, +0.00000000000E+000
+2.08175000000E+004, +8.45415260043E+001, +0.00000000000E+000
+2.08250000000E+004, +8.45488641702E+001, +0.00000000000E+000
+2.08325000000E+004, +8.45555354708E+001, +0.00000000000E+000
+2.08400000000E+004, +8.45699332589E+001, +0.00000000000E+000
+2.08475000000E+004, +8.45774606141E+001, +0.00000000000E+000
+2.08550000000E+004, +8.45840070914E+001, +0.00000000000E+000
+2.08625000000E+004, +8.45932473037E+001, +0.00000000000E+000
+2.08700000000E+004, +8.46023355944E+001, +0.00000000000E+000
+2.08775000000E+004, +8.46084997754E+001, +0.00000000000E+000
+2.08850000000E+004, +8.46208258902E+001, +0.00000000000E+000
+2.08925000000E+004, +8.46269524900E+001, +0.00000000000E+000
+2.09000000000E+004, +8.46389965363E+001, +0.00000000000E+000
+2.09075000000E+004, +8.46481104532E+001, +0.00000000000E+000
+2.09150000000E+004, +8.46568638168E+001, +0.00000000000E+000
+2.09225000000E+004, +8.46633330914E+001, +0.00000000000E+000
+2.09300000000E+004, +8.46650770738E+001, +0.00000000000E+000
+2.09375000000E+004, +8.46825960201E+001, +0.00000000000E+000
+2.09450000000E+004, +8.46900018438E+001, +0.00000000000E+000
+2.09525000000E+004, +8.46966357673E+001, +0.00000000000E+000
+2.09600000000E+004, +8.47092404694E+001, +0.00000000000E+000
+2.09675000000E+004, +8.47120373605E+001, +0.00000000000E+000
+2.09750000000E+004, +8.47185066186E+001, +0.00000000000E+000
+2.09825000000E+004, +8.47351230089E+001, +0.00000000000E+000
+2.09900000000E+004, +8.47421259674E+001, +0.00000000000E+000
+2.09975000000E+004, +8.47484150173E+001, +0.00000000000E+000
+2.10050000000E+004, +8.47582250813E+001, +0.00000000000E+000
+2.10125000000E+004, +8.47632916588E+001, +0.00000000000E+000
+2.10200000000E+004, +8.47735480347E+001, +0.00000000000E+000
+2.10275000000E+004, +8.47839996474E+001, +0.00000000000E+000
+2.10350000000E+004, +8.47889812168E+001, +0.00000000000E+000
+2.10425000000E+004, +8.47999147838E+001, +0.00000000000E+000
+2.10500000000E+004, +8.48077519237E+001, +0.00000000000E+000
+2.10575000000E+004, +8.48147708985E+001, +0.00000000000E+000
+2.10650000000E+004, +8.48226803885E+001, +0.00000000000E+000
+2.10725000000E+004, +8.48275894759E+001, +0.00000000000E+000
+2.10800000000E+004, +8.48378937886E+001, +0.00000000000E+000
+2.10875000000E+004, +8.48413058659E+001, +0.00000000000E+000
+2.10950000000E+004, +8.48528687087E+001, +0.00000000000E+000
+2.11025000000E+004, +8.48594100894E+001, +0.00000000000E+000
+2.11100000000E+004, +8.48697446952E+001, +0.00000000000E+000
+2.11175000000E+004, +8.48788694146E+001, +0.00000000000E+000
+2.11250000000E+004, +8.48905781704E+001, +0.00000000000E+000
+2.11325000000E+004, +8.48963030055E+001, +0.00000000000E+000
+2.11400000000E+004, +8.48989715564E+001, +0.00000000000E+000
+2.11475000000E+004, +8.49093781032E+001, +0.00000000000E+000
+2.11550000000E+004, +8.49166609519E+001, +0.00000000000E+000
+2.11625000000E+004, +8.49269958813E+001, +0.00000000000E+000
+2.11700000000E+004, +8.49331766379E+001, +0.00000000000E+000
+2.11775000000E+004, +8.49417591282E+001, +0.00000000000E+000
