"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.00000000000E+004, -8.98495497214E+001, +0.00000000000E+000
+2.00075000000E+004, -8.98430929818E+001, +0.00000000000E+000
+2.00150000000E+004, -8.98076650213E+001, +0.00000000000E+000
+2.00225000000E+004, -8.98352350968E+001, +0.00000000000E+000
+2.00300000000E+004, -8.98444939508E+001, +0.00000000000E+000
+2.00375000000E+004, -8.98586053424E+001, +0.00000000000E+000
+2.00450000000E+004, -8.98423810262E+001, +0.00000000000E+000
+2.00525000000E+004, -8.98311653776E+001, +0.00000000000E+000
+2.00600000000E+004, -8.98268070290E+001, +0.00000000000E+000
+2.00675000000E+004, -8.98347720496E+001, +0.00000000000E+000
+2.00750000000E+004, -8.98691579214E+001, +0.00000000000E+000
+2.00825000000E+004, -8.98418114860E+001, +0.00000000000E+000
+2.00900000000E+004, -8.98114420189E+001, +0.00000000000E+000
+2.00975000000E+004, -8.98421200092E+001, +0.00000000000E+000
+2.01050000000E+004, -8.98325431298E+001, +0.00000000000E+000
+2.01125000000E+004, -8.98270467250E+001, +0.00000000000E+000
+2.01200000000E+004, -8.98453208436E+001, +0.00000000000E+000
+2.01275000000E+004, -8.98510857694E+001, +0.00000000000E+000
+2.01350000000E+004, -8.98529101665E+001, +0.00000000000E+000
+2.01425000000E+004, -8.98306724061E+001, +0.00000000000E+000
+2.01500000000E+004, -8.98410197592E+001, +0.00000000000E+000
+2.01575000000E+004, -8.98585784121E+001, +0.00000000000E+000
+2.01650000000E+004, -8.98070994995E+001, +0.00000000000E+000
+2.01725000000E+004, -8.98682107994E+001, +0.00000000000E+000
+2.01800000000E+004, -8.97962937006E+001, +0.00000000000E+000
+2.01875000000E+004, -8.98433586883E+001, +0.00000000000E+000
+2.01950000000E+004, -8.98314810689E+001, +0.00000000000E+000
+2.02025000000E+004, -8.98317174903E+001, +0.00000000000E+000
+2.02100000000E+004, -8.98295835712E+001, +0.00000000000E+000
+2.02175000000E+004, -8.98341286276E+001, +0.00000000000E+000
+2.02250000000E+004, -8.98344659305E+001, +0.00000000000E+000
+2.02325000000E+004, -8.98583185999E+001, +0.00000000000E+000
+2.02400000000E+004, -8.98526539918E+001, +0.00000000000E+000
+2.02475000000E+004, -8.98461435358E+001, +0.00000000000E+000
+2.02550000000E+004, -8.98564031540E+001, +0.00000000000E+000
+2.02625000000E+004, -8.97974856461E+001, +0.00000000000E+000
+2.02700000000E+004, -8.98588842726E+001, +0.00000000000E+000
+2.02775000000E+004, -8.98270293923E+001, +0.00000000000E+000
+2.02850000000E+004, -8.98365056091E+001, +0.00000000000E+000
+2.02925000000E+004, -8.98207717589E+001, +0.00000000000E+000
+2.03000000000E+004, -8.98518057018E+001, +0.00000000000E+000
