"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.00000000000E+004, +4.48155381767E+001, +0.00000000000E+000
+2.00075000000E+004, +4.49134174978E+001, +0.00000000000E+000
+2.00150000000E+004, +4.50108099394E+001, +0.00000000000E+000
+2.00225000000E+004, +4.51030647208E+001, +0.00000000000E+000
+2.00300000000E+004, +4.51996206909E+001, +0.00000000000E+000
+2.00375000000E+004, +4.52985519206E+001, +0.00000000000E+000
+2.00450000000E+004, +4.53923422954E+001, +0.00000000000E+000
+2.00525000000E+004, +4.54906576613E+001, +0.00000000000E+000
+2.00600000000E+004, +4.55898045860E+001, +0.00000000000E+000
+2.00675000000E+004, +4.56829784157E+001, +0.00000000000E+000
+2.00750000000E+004, +4.57769610087E+001, +0.00000000000E+000
+2.00825000000E+004, +4.58733541767E+001, +0.00000000000E+000
+2.00900000000E+004, +4.59712289205E+001, +0.00000000000E+000
+2.00975000000E+004, +4.60691827241E+001, +0.00000000000E+000
+2.01050000000E+004, +4.61602957940E+001, +0.00000000000E+000
+2.01125000000E+004, +4.62623040240E+001, +0.00000000000E+000
+2.01200000000E+004, +4.63561263211E+001, +0.00000000000E+000
+2.01275000000E+004, +4.64490388667E+001, +0.00000000000E+000
+2.01350000000E+004, +4.65499230918E+001, +0.00000000000E+000
+2.01425000000E+004, +4.66445469237E+001, +0.00000000000E+000
+2.01500000000E+004, +4.67377742329E+001, +0.00000000000E+000
+2.01575000000E+004, +4.68354206945E+001, +0.00000000000E+000
+2.01650000000E+004, +4.69303913432E+001, +0.00000000000E+000
+2.01725000000E+004, +4.70260851288E+001, +0.00000000000E+000
+2.01800000000E+004, +4.71215506755E+001, +0.00000000000E+000
+2.01875000000E+004, +4.72191724109E+001, +0.00000000000E+000
+2.01950000000E+004, +4.73151442162E+001, +0.00000000000E+000
+2.02025000000E+004, +4.74116082705E+001, +0.00000000000E+000
+2.02100000000E+004, +4.75061512933E+001, +0.00000000000E+000
+2.02175000000E+004, +4.76061511769E+001, +0.00000000000E+000
+2.02250000000E+004, +4.76991024728E+001, +0.00000000000E+000
+2.02325000000E+004, +4.77947511465E+001, +0.00000000000E+000
+2.02400000000E+004, +4.78902963787E+001, +0.00000000000E+000
+2.02475000000E+004, +4.79888915498E+001, +0.00000000000E+000
+2.02550000000E+004, +4.80786787290E+001, +0.00000000000E+000
+2.02625000000E+004, +4.81812351122E+001, +0.00000000000E+000
+2.02700000000E+004, +4.82720048123E+001, +0.00000000000E+000
+2.02775000000E+004, +4.83723683312E+001, +0.00000000000E+000
+2.02850000000E+004, +4.84683248186E+001, +0.00000000000E+000
+2.02925000000E+004, +4.85609221632E+001, +0.00000000000E+000
+2.03000000000E+004, +4.86572206773E+001, +0.00000000000E+000
+2.03075000000E+004, +4.87554378972E+001, +0.00000000000E+000
+2.03150000000E+004, +4.88510753684E+001, +0.00000000000E+000
+2.03225000000E+004, +4.89469022015E+001, +0.00000000000E+000
+2.03300000000E+004, +4.90420425664E+001, +0.00000000000E+000
+2.03375000000E+004, +4.91373792409E+001, +0.00000000000E+000
+2.03450000000E+004, +4.92373706262E+001, +0.00000000000E+000
+2.03525000000E+004, +4.93347980063E+001, +0.00000000000E+000
+2.03600000000E+004, +4.94296148440E+001, +0.00000000000E+000
+2.03675000000E+004, +4.95210446897E+001, +0.00000000000E+000
+2.03750000000E+004, +4.96169332656E+001, +0.00000000000E+000
+2.03825000000E+004, +4.97138182550E+001, +0.00000000000E+000
+2.03900000000E+004, +4.98143869612E+001, +0.00000000000E+000
+2.03975000000E+004, +4.99029787460E+001, +0.00000000000E+000
+2.04050000000E+004, +5.00022328119E+001, +0.00000000000E+000
+2.04125000000E+004, +5.00992443526E+001, +0.00000000000E+000
+2.04200000000E+004, +5.01920757309E+001, +0.00000000000E+000
+2.04275000000E+004, +5.02867805027E+001, +0.00000000000E+000
+2.04350000000E+004, +5.03856756011E+001, +0.00000000000E+000
+2.04425000000E+004, +5.04767389313E+001, +0.00000000000E+000
+2.04500000000E+004, +5.05759785721E+001, +0.00000000000E+000
+2.04575000000E+004, +5.06922051489E+001, +0.00000000000E+000
+2.04650000000E+004, +5.07854757602E+001, +0.00000000000E+000
+2.04725000000E+004, +5.08841357549E+001, +0.00000000000E+000
+2.04800000000E+004, +5.09763614796E+001, +0.00000000000E+000
+2.04875000000E+004, +5.10698295368E+001, +0.00000000000E+000
+2.04950000000E+004, +5.11685904969E+001, +0.00000000000E+000
+2.05025000000E+004, +5.12645535005E+001, +0.00000000000E+000
+2.05100000000E+004, +5.13605150244E+001, +0.00000000000E+000
+2.05175000000E+004, +5.14521753297E+001, +0.00000000000E+000
+2.05250000000E+004, +5.15473971846E+001, +0.00000000000E+000
+2.05325000000E+004, +5.16438666072E+001, +0.00000000000E+000
+2.05400000000E+004, +5.17418464686E+001, +0.00000000000E+000
+2.05475000000E+004, +5.18364709111E+001, +0.00000000000E+000
+2.05550000000E+004, +5.19348417075E+001, +0.00000000000E+000
+2.05625000000E+004, +5.20248505626E+001, +0.00000000000E+000
+2.05700000000E+004, +5.21264447137E+001, +0.00000000000E+000
+2.05775000000E+004, +5.22198674623E+001, +0.00000000000E+000
+2.05850000000E+004, +5.23137384741E+001, +0.00000000000E+000
+2.05925000000E+004, +5.24110327753E+001, +0.00000000000E+000
+2.06000000000E+004, +5.25078719049E+001, +0.00000000000E+000
+2.06075000000E+004, +5.25997708542E+001, +0.00000000000E+000
+2.06150000000E+004, +5.26982213092E+001, +0.00000000000E+000
+2.06225000000E+004, +5.27935360813E+001, +0.00000000000E+000
+2.06300000000E+004, +5.28892190976E+001, +0.00000000000E+000
+2.06375000000E+004, +5.29835517631E+001, +0.00000000000E+000
+2.06450000000E+004, +5.30831110711E+001, +0.00000000000E+000
+2.06525000000E+004, +5.31756079624E+001, +0.00000000000E+000
+2.06600000000E+004, +5.32738644051E+001, +0.00000000000E+000
+2.06675000000E+004, +5.33672410347E+001, +0.00000000000E+000
+2.06750000000E+004, +5.34652725123E+001, +0.00000000000E+000
+2.06825000000E+004, +5.35585448181E+001, +0.00000000000E+000
+2.06900000000E+004, +5.36596588537E+001, +0.00000000000E+000
+2.06975000000E+004, +5.37508921158E+001, +0.00000000000E+000
+2.07050000000E+004, +5.38493138455E+001, +0.00000000000E+000
+2.07125000000E+004, +5.39421853126E+001, +0.00000000000E+000
+2.07200000000E+004, +5.40386256897E+001, +0.00000000000E+000
