"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.00000000000E+004, +2.45276498173E+003, +0.00000000000E+000
+2.00075000000E+004, +2.45189782920E+003, +0.00000000000E+000
+2.00150000000E+004, +2.44951268845E+003, +0.00000000000E+000
+2.00225000000E+004, +2.44808791278E+003, +0.00000000000E+000
+2.00300000000E+004, +2.44693283950E+003, +0.00000000000E+000
+2.00375000000E+004, +2.44616905622E+003, +0.00000000000E+000
+2.00450000000E+004, +2.44483031534E+003, +0.00000000000E+000
+2.00525000000E+004, +2.44256653776E+003, +0.00000000000E+000
+2.00600000000E+004, +2.44007972130E+003, +0.00000000000E+000
+2.00675000000E+004, +2.43996239189E+003, +0.00000000000E+000
+2.00750000000E+004, +2.43690129224E+003, +0.00000000000E+000
+2.00825000000E+004, +2.43614913056E+003, +0.00000000000E+000
+2.00900000000E+004, +2.43361832264E+003, +0.00000000000E+000
+2.00975000000E+004, +2.43485251757E+003, +0.00000000000E+000
+2.01050000000E+004, +2.43303461708E+003, +0.00000000000E+000
+2.01125000000E+004, +2.43061390580E+003, +0.00000000000E+000
+2.01200000000E+004, +2.42963726189E+003, +0.00000000000E+000
+2.01275000000E+004, +2.42678086688E+003, +0.00000000000E+000
+2.01350000000E+004, +2.42587343667E+003, +0.00000000000E+000
+2.01425000000E+004, +2.42381856486E+003, +0.00000000000E+000
+2.01500000000E+004, +2.42282913339E+003, +0.00000000000E+000
+2.01575000000E+004, +2.42104702949E+003, +0.00000000000E+000
+2.01650000000E+004, +2.41908838280E+003, +0.00000000000E+000
+2.01725000000E+004, +2.41850983908E+003, +0.00000000000E+000
+2.01800000000E+004, +2.41715944546E+003, +0.00000000000E+000
+2.01875000000E+004, +2.41552348302E+003, +0.00000000000E+000
+2.01950000000E+004, +2.41403823656E+003, +0.00000000000E+000
+2.02025000000E+004, +2.41190603087E+003, +0.00000000000E+000
+2.02100000000E+004, +2.40962244201E+003, +0.00000000000E+000
+2.02175000000E+004, +2.40995668470E+003, +0.00000000000E+000
+2.02250000000E+004, +2.40834749302E+003, +0.00000000000E+000
+2.02325000000E+004, +2.40569178350E+003, +0.00000000000E+000
+2.02400000000E+004, +2.40537151902E+003, +0.00000000000E+000
+2.02475000000E+004, +2.40290561089E+003, +0.00000000000E+000
+2.02550000000E+004, +2.40172726709E+003, +0.00000000000E+000
+2.02625000000E+004, +2.39932974214E+003, +0.00000000000E+000
+2.02700000000E+004, +2.39774264801E+003, +0.00000000000E+000
+2.02775000000E+004, +2.39591591114E+003, +0.00000000000E+000
+2.02850000000E+004, +2.39570228848E+003, +0.00000000000E+000
+2.02925000000E+004, +2.39337185429E+003, +0.00000000000E+000
+2.03000000000E+004, +2.39282615925E+003, +0.00000000000E+000
+2.03075000000E+004, +2.38886038062E+003, +0.00000000000E+000
+2.03150000000E+004, +2.38886613928E+003, +0.00000000000E+000
+2.03225000000E+004, +2.38845785501E+003, +0.00000000000E+000
+2.03300000000E+004, +2.38416849028E+003, +0.00000000000E+000
+2.03375000000E+004, +2.38417003697E+003, +0.00000000000E+000
+2.03450000000E+004, +2.38409815838E+003, +0.00000000000E+000
+2.03525000000E+004, +2.38190512183E+003, +0.00000000000E+000
+2.03600000000E+004, +2.37931848852E+003, +0.00000000000E+000
+2.03675000000E+004, +2.37751789250E+003, +0.00000000000E+000
+2.03750000000E+004, +2.37588654044E+003, +0.00000000000E+000
+2.03825000000E+004, +2.37566043705E+003, +0.00000000000E+000
+2.03900000000E+004, +2.37258625395E+003, +0.00000000000E+000
+2.03975000000E+004, +2.37210771401E+003, +0.00000000000E+000
+2.04050000000E+004, +2.37078021180E+003, +0.00000000000E+000
+2.04125000000E+004, +2.36796004537E+003, +0.00000000000E+000
+2.04200000000E+004, +2.36571045299E+003, +0.00000000000E+000
+2.04275000000E+004, +2.36475861565E+003, +0.00000000000E+000
+2.04350000000E+004, +2.36277744822E+003, +0.00000000000E+000
+2.04425000000E+004, +2.36186244835E+003, +0.00000000000E+000
+2.04500000000E+004, +2.36112513482E+003, +0.00000000000E+000
